"Annee","Serie","Serie_Partielle","Code_Station","Id_Operation","DateDeb","LatDeb","LongDeb","DateFin","LatFin","LongFin","Distance"
1999,"Campagne SHINY",1,"B1",11,"01/07/1999 00:00",44.0442319505708,-2.04316198274493,"01/07/1999 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2000,"Campagne SHINY",1,"B1",11,"01/07/2000 00:00",44.0442319505708,-2.04316198274493,"01/07/2000 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2000,"Campagne SHINY",1,"B1",11,"01/04/2000 00:00",44.0442319505708,-2.04316198274493,"01/04/2000 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2005,"Campagne SHINY",1,"B1",11,"01/04/2005 00:00",44.0442319505708,-2.04316198274493,"01/04/2005 00:00",44.0442319505708,-2.02316198274493,1.2e-05
1999,"Campagne SHINY",1,"B1",11,"01/01/1999 00:00",44.0442319505708,-2.04316198274493,"01/01/1999 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2000,"Campagne SHINY",1,"B1",11,"01/01/2000 00:00",44.0442319505708,-2.04316198274493,"01/01/2000 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2005,"Campagne SHINY",1,"B1",11,"01/01/2005 00:00",44.0442319505708,-2.04316198274493,"01/01/2005 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2010,"Campagne SHINY",1,"B1",11,"01/10/2010 00:00",44.0442319505708,-2.04316198274493,"01/10/2010 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2010,"Campagne SHINY",1,"B1",11,"01/01/2010 00:00",44.0442319505708,-2.04316198274493,"01/01/2010 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2015,"Campagne SHINY",1,"B1",11,"01/10/2015 00:00",44.0442319505708,-2.04316198274493,"01/10/2015 00:00",44.0442319505708,-2.02316198274493,1.2e-05
1999,"Campagne SHINY",1,"B1",11,"01/10/1999 00:00",44.0442319505708,-2.04316198274493,"01/10/1999 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2015,"Campagne SHINY",1,"B1",11,"01/07/2015 00:00",44.0442319505708,-2.04316198274493,"01/07/2015 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2000,"Campagne SHINY",1,"B1",11,"01/10/2000 00:00",44.0442319505708,-2.04316198274493,"01/10/2000 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2020,"Campagne SHINY",1,"B1",11,"01/07/2020 00:00",44.0442319505708,-2.04316198274493,"01/07/2020 00:00",44.0442319505708,-2.02316198274493,1.2e-05
2005,"Campagne SHINY",1,"B1",11,"01/10/2005 00:00",44.0442319505708,-2.04316198274493,"01/10/2005 00:00",44.0442319505708,-2.02316198274493,1.2e-05
